Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.53,1948.56,0,1063907.8,0,39,33
2117.33,170.45,0,8969.08,0,270,2
2125.75,139.81,0,1689.3,0,456,1
2128.45,102.35,0,304.62,0,16,1
2131.29,113.8,0,1526.55,0,336,1
2132.95,126.12,0,1467.59,0,348,1
2141.08,133.99,0,2437.78,0,439,1
2157.32,232.45,0,8101.64,0,469,3
2161.21,122.75,0,1549.69,0,236,1
2193.7,173.95,0,6698.96,0,403,2
2291.96,107.02,0,315.43,0,1443,1
2315.48,125.51,0,1285.85,0,1099,1
2337.48,106.69,0,627.52,0,276,1
2338.55,107.86,0,735.22,0,277,1
2340.12,116.98,0,778.34,0,280,1
2341.92,106.66,0,730.91,0,277,1
2422.27,106.59,0,313.99,0,165,1
2428.64,312.77,0,18976.9,0,351,5
2450.19,140.47,0,2681.58,0,299,1
2453.45,102.39,0,304.7,0,281,1
2455.7,131.73,0,954.74,0,296,1
2470.56,104.49,0,410.95,0,381,1
2472.12,121.45,0,565.54,0,2079,1
2484.71,129.93,0,1294.44,0,623,1
2507.93,103.54,0,306.02,0,252,1
2594.9,113.44,0,1084.09,0,275,1
2597.94,154.82,0,4419.45,0,335,2
2601.11,107.28,0,519.95,0,273,1
2773.35,146.15,0,1185.13,0,1524,2
2776.14,137.14,0,1593.69,0,660,1
2913.69,101.52,0,404.25,0,377,1
2929.32,122.2,0,1018.6,0,667,1
3120.01,139.07,0,4971.9,0,315,1
3123.79,119.36,0,1337.06,0,213,1
3816.21,116.16,0,2893.32,0,351,1
4074.34,117.89,0,996.91,0,399,1
4076.94,109.96,0,1486.1,0,371,1
4934.93,146.96,0,7778.35,0,391,2
