Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.29,1601.9,0,830398.15,0,41,25
2107.51,208.74,0,8394.47,0,369,2
2113.27,106.84,0,519.47,0,15,1
2115.29,121.3,0,804.97,0,183,1
2118.23,111.22,0,1265.94,0,16,1
2120.46,143.15,0,2678.38,0,286,1
2122.99,105.56,0,515.59,0,15,1
2160.26,231.76,0,10084.15,0,388,3
2195.67,177.43,0,5375.42,0,512,2
2339.78,109.38,0,739.55,0,249,1
2341.42,108.5,0,1061.61,0,248,1
2431.91,385.38,0,21966.22,0,417,5
2454.67,157.27,0,6334.56,0,350,2
2470.16,111.44,0,748.64,0,332,1
2472.58,143.13,0,2645.75,0,361,1
2484.26,103.14,0,307.29,0,229,1
2487.62,127.82,0,2530.68,0,288,1
2489.83,111.39,0,1159.41,0,278,1
2502.93,108.86,0,737.14,0,749,1
2577.13,102.67,0,303.81,0,651,1
2601.1,129.55,0,4151.05,0,485,1
2777.67,137.15,0,3742.76,0,330,1
2781.42,104.38,0,512.44,0,235,1
2931.51,119.91,0,2035.09,0,383,1
2934.28,108.26,0,631.99,0,367,1
3124.02,201.19,0,10607.62,0,335,2
3820.36,150.77,0,4974.7,0,445,1
4081.54,106.46,0,626.35,0,420,1
4941.28,169.37,0,8270.99,0,474,2
