Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.76,1674.63,0,866826.94,0,41,33
2117.11,101.4,0,303.55,0,120,1
2120.33,135.41,0,2805.67,0,325,2
2127.54,107.46,0,421.75,0,126,1
2143.04,119.02,0,792.11,0,1081,1
2160.28,269.55,0,13024.69,0,411,4
2165.09,103.63,0,410.06,0,192,1
2166.38,102.83,0,408.69,0,192,1
2170.87,136.05,0,1129.53,0,1039,2
2182.41,120.54,0,1125,0,452,1
2195.79,248.12,0,10285.11,0,434,4
2296.35,103.79,0,407.28,0,880,1
2307.65,127.29,0,1257.65,0,693,2
2340.86,156.17,0,3936.84,0,336,2
2344.33,116.86,0,1551.89,0,194,1
2431.92,531.79,0,34133.2,0,365,10
2454.62,175.3,0,8642.01,0,291,3
2458.52,112.31,0,745.95,0,232,1
2470.27,118.71,0,1214.61,0,289,1
2472.78,140.86,0,2920.04,0,342,2
2475.01,107.4,0,522.58,0,280,1
2485.42,103.84,0,308,0,299,1
2489.16,151.3,0,4228.34,0,367,2
2502.4,115.47,0,1320.87,0,202,1
2510.9,124.68,0,915.85,0,205,2
2573.82,119.22,0,1231.92,0,373,1
2575.71,104.62,0,514.64,0,310,1
2577.18,101.87,0,605.98,0,307,1
2601.32,185.59,0,7380.93,0,397,3
2711.63,102.28,0,607.46,0,246,1
2715.44,111.48,0,756.35,0,251,1
2718.22,104.91,0,717.17,0,248,1
2757.22,106.31,0,521.58,0,637,1
2775.79,109.04,0,1154.85,0,242,1
2779.28,137.81,0,5364.37,0,293,2
2918.55,163.07,0,5444.47,0,466,2
2932.68,138.88,0,5223.3,0,353,2
2936.23,105.09,0,721.39,0,253,1
2950.4,107.9,0,626.28,0,301,1
3119.25,125,0,2028.39,0,225,2
3124.74,207.19,0,9536.24,0,403,3
3820.82,162.34,0,6504.62,0,404,2
4081.21,178.34,0,8581.2,0,357,3
4941.46,204.62,0,12555.53,0,399,3
