Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.15,1050.06,0,567781.85,0,40,21
2105.16,154.99,0,8909.29,0,19,2
2158.3,186.76,0,9318.28,0,310,3
2170.16,350.6,0,19078.62,0,352,6
2193.65,242.61,0,12438.56,0,343,4
2340.39,120.33,0,3850.28,0,298,2
2429.83,393.47,0,25004.05,0,328,7
2452.57,147.35,0,8066.78,0,254,2
2484.9,114.87,0,4188.86,0,224,1
2599.55,154,0,6560.29,0,349,2
2915.52,136.54,0,6080.93,0,283,2
3120.37,169.31,0,10344.5,0,283,3
3817.37,187.32,0,10043.22,0,395,3
4077.12,144.48,0,7452.12,0,339,2
4936.37,133.48,0,6695.72,0,361,2
