Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.26,1048.19,0,571530.92,0,40,23
2115.72,123.12,0,1492.95,0,298,2
2117.33,107.04,0,729.49,0,226,1
2133.01,104.56,0,411.37,0,338,1
2156.51,222.95,0,8927.26,0,424,4
2192.45,290.21,0,10912.35,0,479,6
2299.97,104.17,0,308.56,0,800,1
2315.08,109.1,0,634.18,0,432,1
2316.7,103.57,0,511.98,0,424,1
2338.91,141.16,0,3478.33,0,381,2
2427.85,487.93,0,27799.32,0,366,10
2451.37,155.17,0,8855.19,0,271,3
2468.77,112.33,0,965.08,0,394,2
2484.04,139.34,0,4356.94,0,388,2
2498.69,115.42,0,872.13,0,220,2
2506.59,104.81,0,413.51,0,199,1
2570.37,128.9,0,1899.34,0,734,2
2596.84,158.25,0,4560.71,0,444,3
2711.51,111.33,0,645.29,0,392,2
2752.17,104.03,0,411.21,0,926,1
2773.48,120.64,0,2607.65,0,300,2
2853.09,111.13,0,638.49,0,590,2
2913.32,122.16,0,3453.17,0,413,2
2927.05,132.41,0,3564.36,0,373,2
2929.88,110.92,0,1064.66,0,284,2
3117.97,164.89,0,9330.25,0,310,3
3814.06,161.34,0,6244.88,0,477,3
4057.1,115.62,0,3236.61,0,132,2
4066.5,111.55,0,962.22,0,132,2
4073.72,210.49,0,12624.1,0,352,4
4932.53,205.64,0,12822.11,0,386,4
5657.62,170.35,0,28196.52,0,148,3
6084.96,189.76,0,24925.17,0,203,3
6103.22,102.27,0,507.45,0,121,1
6234.51,115.6,0,4831.67,0,334,2
6884.75,127.34,0,9769.89,0,197,2
6894.32,102.67,0,916.03,0,168,1
