Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.78,1054.57,0,557214.8,0,39,21
2104.02,187.29,0,11371.53,0,234,3
2117.64,120.97,0,1010.66,0,257,2
2119.2,102.38,0,609.22,0,249,1
2120.48,101.37,0,404.07,0,248,1
2141.16,107.7,0,625.64,0,499,1
2158.33,294.33,0,14879.1,0,432,5
2193.39,263.39,0,10267.98,0,443,4
2338.1,127.85,0,1900.7,0,271,2
2339.94,125.94,0,1601.27,0,269,2
2343.21,116.4,0,1319.99,0,252,1
2429.04,542.43,0,31096.79,0,394,10
2451.72,170.12,0,8395.68,0,318,3
2469.08,151.36,0,2698.03,0,824,2
2485.15,138.27,0,5433.4,0,348,2
2498.57,105.21,0,620.9,0,541,1
2500.48,127.13,0,1948.35,0,576,2
2571.59,120.91,0,1906.27,0,696,2
2598.57,163.78,0,6451.49,0,424,2
2713.86,110.82,0,965.44,0,438,1
2772.42,113.81,0,877.05,0,365,1
2774.74,141.06,0,2540.2,0,391,2
2797.06,106.09,0,415.45,0,377,1
2800.25,104.47,0,412.98,0,375,1
2854.46,104.76,0,411.61,0,520,1
2913.84,125.26,0,1998,0,581,2
2929.22,142.58,0,4948.37,0,440,2
3115.55,119.63,0,1011.89,0,231,1
3120.67,191.25,0,8406.71,0,400,3
3815.72,162.65,0,5318.52,0,490,2
4074.85,149.79,0,5631.3,0,448,2
4934.69,207.8,0,11305.76,0,458,3
