Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.72,1141.06,0,616145.76,0,40,25
2112.41,115.19,0,549.83,0,1175,2
2117.1,111.49,0,2654.98,0,326,2
2158.39,212.09,0,8331.17,0,404,4
2193.46,192.51,0,4588.27,0,672,3
2338.04,104.45,0,412.04,0,255,1
2340.01,110.64,0,963.37,0,267,2
2429.23,371.82,0,23933,0,372,8
2450.22,123.77,0,1262.22,0,400,2
2452.36,126.22,0,1169.99,0,403,2
2454.55,104.85,0,411.04,0,225,1
2468.08,113.27,0,765.53,0,476,2
2470.51,102.75,0,305.4,0,456,1
2484.83,126.13,0,1271.28,0,465,2
2486.23,129.6,0,1066.27,0,472,2
2572.4,113.89,0,1615.49,0,622,2
2598.87,128.97,0,3992.13,0,430,2
2915.21,131.53,0,2706.72,0,472,2
2929.19,113.89,0,759.45,0,511,2
3121.8,152.56,0,6061.34,0,356,3
3816.72,106.75,0,837.57,0,396,1
4075.22,111.98,0,1388.34,0,498,2
4077.46,102.65,0,913.46,0,482,1
4935.6,136.97,0,5176.86,0,510,2
