Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.07,1562.45,0,840995.66,0,40,21
2111.66,118.55,0,1451.89,0,19,1
2114.05,147.46,0,1273.08,0,638,1
2115.62,106.75,0,1152.07,0,18,0
2118.71,135.03,0,2106.58,0,754,1
2123.85,112.15,0,544.62,0,121,1
2125.24,105.26,0,312.88,0,119,0
2127.91,126.66,0,2277.44,0,247,1
2133.81,106.75,0,517.66,0,120,0
2158.17,126.15,0,1172.95,0,252,1
2159.26,130.78,0,944.43,0,254,1
2160.77,108.11,0,421.31,0,246,1
2193.81,105.08,0,412.93,0,557,0
2195.72,118.98,0,1016.42,0,593,1
2340.01,125.15,0,1056.48,0,378,1
2342.03,124.92,0,817,0,378,1
2426.27,102.52,0,507.95,0,207,0
2430.57,234.99,0,11761.75,0,355,2
2454.89,118.47,0,898.57,0,475,1
3123.06,117.4,0,1634.16,0,656,1
