Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.33,1187.69,0,595754.08,0,41,20
2095.11,122.63,0,1126.67,0,19,1
2097.03,122.18,0,2071.58,0,19,1
2100.3,143.58,0,4273.94,0,20,2
2103.35,114.38,0,1195.99,0,19,1
2107.93,170.28,0,7478.86,0,333,2
2119.35,109.85,0,1357.57,0,663,1
2159.97,237.55,0,9735.54,0,408,3
2164,102.54,0,408.07,0,211,1
2182.03,105.34,0,310.73,0,959,1
2195.7,222.47,0,6582.29,0,550,3
2199.31,104.71,0,308.62,0,313,1
2319.16,114.07,0,770.36,0,607,1
2341.53,132.32,0,1450.28,0,403,1
2432.01,436.81,0,24283.68,0,399,7
2454.41,160.42,0,6633.25,0,239,2
2458.34,110.52,0,638.79,0,218,1
2472.47,115.2,0,1194.19,0,315,1
2488.19,139.14,0,4182.07,0,385,1
2503.57,106.3,0,415.82,0,405,1
2575.18,105.82,0,413.02,0,625,1
2601.26,143.2,0,4047.73,0,554,2
2777.01,157.62,0,2007.12,0,590,2
2779.28,105.45,0,826.09,0,309,1
2917.7,109,0,628.18,0,355,1
2932.66,115.92,0,2417.33,0,306,1
3124.07,171.23,0,8788.21,0,324,2
3820.63,131.75,0,3585.74,0,446,1
4081.12,139.38,0,4917.27,0,502,1
4941.26,162.35,0,7424.01,0,435,2
