Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.72,491.69,0,241739.62,0,40,12
2085.6,160.98,0,8801.69,0,23,3
2105.01,121.01,0,3629.23,0,324,2
2157.27,210.27,0,9989.32,0,344,4
2168.83,113.4,0,2903.63,0,330,2
2192.56,203.96,0,9129.87,0,370,4
2428.76,429.17,0,23890.2,0,370,10
2451.05,140.94,0,7716.73,0,246,3
2484.61,107.9,0,2203.28,0,234,2
2597.5,124.03,0,3705.91,0,399,2
3119.39,139.34,0,7250.29,0,249,3
3815,112.53,0,3250.11,0,377,2
4058.26,129.37,0,7583.27,0,137,2
4073.59,133.99,0,7712.38,0,139,3
4933.62,145.84,0,7873.11,0,369,3
5656.08,246.34,0,35703.07,0,181,5
6084.16,261.31,0,31403.71,0,252,6
6883.88,142.78,0,12866.88,0,243,3
