Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.71,1092.17,0,570961.03,0,40,22
2105.79,143.58,0,6987.32,0,19,2
2159.01,153.65,0,6930.74,0,294,2
2194.77,186.97,0,8356.25,0,351,3
2430.89,311.66,0,19265.38,0,320,6
2454.15,128.54,0,5762.33,0,252,2
2486.35,112.55,0,3369.6,0,270,1
2600.1,119.38,0,3359.5,0,290,2
3122.43,128.1,0,6566.64,0,267,2
3818.72,154.81,0,7854.76,0,362,2
4078.17,132.97,0,7762.17,0,148,2
4938.5,119.14,0,5302.3,0,311,2
6090.33,115.22,0,7149.85,0,199,1
