Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.43,1132.76,0,579933.51,0,41,21
2106.24,149.13,0,9393.1,0,19,2
2119.63,112.45,0,2800.42,0,162,1
2159.45,169.65,0,7433.82,0,321,2
2195.29,191.25,0,8289.83,0,369,3
2431.44,374.5,0,23500.84,0,324,6
2454.5,138.37,0,7111.42,0,239,2
2486.75,113.44,0,3691.92,0,217,1
2600.56,139.48,0,5272.79,0,372,2
2916.7,125.36,0,5150.24,0,310,1
3122.5,134.79,0,7072.79,0,257,2
3819.94,170.11,0,9030.49,0,365,2
4079.84,150.54,0,8885.5,0,315,2
4939.64,132.78,0,6883.87,0,334,2
