Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.18,1706.86,0,812482.14,0,45,36
2120,116.15,0,3936.96,0,17,1
2160.82,181.14,0,7929.16,0,334,3
2196.35,176.86,0,7246.65,0,374,3
2432.92,286.98,0,17897.8,0,310,5
2456.43,150.56,0,9041.01,0,225,2
2487.28,109.2,0,3695.6,0,184,1
2602.05,121.89,0,3995.69,0,323,2
3124.63,128.36,0,6561.25,0,250,2
3822.57,144,0,7890.16,0,309,2
4066.28,107.5,0,3742.49,0,117,1
4081.38,140.99,0,9320.73,0,138,2
4943.47,118.66,0,5635.3,0,289,2
5667.71,127.37,0,15387.9,0,123,2
6098.37,184.83,0,24824,0,189,3
