Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.64,518.73,0,274096.88,0,37,11
2104.43,141.37,0,5625.63,0,297,2
2157.14,166.23,0,6991.65,0,340,3
2192.46,176.79,0,7898.74,0,344,3
2428.61,403.37,0,24569.11,0,339,9
2451.39,146.73,0,9549.91,0,204,3
2483.39,111.18,0,3228.96,0,221,2
2597.5,134.72,0,4661.1,0,374,2
2913.49,116.08,0,4092.56,0,278,2
3117.89,128.67,0,5853.43,0,268,2
3814.78,164.72,0,8322.14,0,383,3
4064.27,186.5,0,28562.26,0,139,3
4933.68,138.57,0,7752.72,0,334,2
5656.04,268.71,0,45533.87,0,164,5
6083.97,588.3,0,96563.16,0,221,13
6884.43,185.83,0,23678.1,0,214,3
