Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.97,597,0,323406.56,0,36,13
2104.91,134.42,0,5378.57,0,19,2
2115.87,116.51,0,4196.41,0,245,2
2157.24,168.27,0,7255.71,0,336,3
2192.41,172.76,0,6689.02,0,388,3
2428.38,391.2,0,24117.5,0,330,8
2451.18,166.86,0,12059.81,0,201,3
2597.33,123.99,0,3812.72,0,352,2
2913.32,120.05,0,4741.35,0,294,2
3118.56,129.23,0,6259.37,0,250,2
3814.57,163.2,0,8350.11,0,377,3
4064.03,204.4,0,32507.47,0,139,4
4933.19,119.74,0,5192.56,0,350,2
5656.25,273.98,0,48905.77,0,159,5
6083.91,590.24,0,99342.38,0,213,12
6884.01,166.77,0,19299.4,0,218,3
