Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.41,754.57,0,381425.65,0,39,10
2105.12,130.6,0,4310.07,0,324,1
2116.2,120.94,0,3885.2,0,153,1
2123.19,150.93,0,6324.4,0,164,1
2157.85,122.92,0,3940.25,0,295,1
2179.84,141.33,0,4266.16,0,64,1
2187.73,1026.73,0,73106.66,0,399,14
2207.25,129.34,0,4797.44,0,64,1
2300.32,185.66,0,8770.08,0,334,2
2315.51,281.66,0,14632.11,0,361,3
2342.83,599.68,0,36205.3,0,374,8
2407.39,162.29,0,6462.57,0,380,1
2429.09,400.13,0,26459.08,0,313,5
2452.98,149.85,0,7832.37,0,244,1
2465.26,303.67,0,15830.28,0,379,3
2497.13,694.98,0,73150.37,0,335,9
2522.71,579.71,0,31669,0,396,7
2543.83,138.1,0,4479.84,0,412,1
2627.11,2411.49,0,164698.1,0,394,34
2649.86,359.29,0,26386.02,0,318,4
2663.64,123.56,0,5440.65,0,43,1
2689.67,111.65,0,2352.6,0,143,1
2698.07,640.39,0,37256.95,0,396,8
2782.71,447.89,0,26879.77,0,374,6
2816.9,161.15,0,6543.85,0,400,1
2897.6,328.42,0,17460.18,0,409,4
2916.67,356.4,0,28070.81,0,339,4
2928.24,104.28,0,2664.31,0,55,1
2939.95,135.79,0,5913.17,0,300,1
3037.11,4899.87,0,385418.17,0,382,71
3058.58,836.5,0,60353.88,0,347,11
3077.78,241.41,0,18029.31,0,279,3
3161.08,204.51,0,9758.26,0,417,2
3180.34,127.35,0,6746.02,0,107,1
3193.22,832.56,0,57864.92,0,374,11
3216.9,159.88,0,9969.05,0,277,1
3289.18,133.03,0,4887.59,0,409,1
3313.94,278.47,0,17446.48,0,360,3
3335.55,134.91,0,6333.23,0,301,1
3446.07,268.5,0,19345.45,0,319,3
3494.4,271.32,0,16784.61,0,370,3
3817.57,193.14,0,12564.31,0,317,2
3833.67,113.15,0,5234.77,0,121,1
4064.89,365.83,0,44983.78,0,277,4
4127.32,233.97,0,14206.82,0,392,2
4241.89,308.7,0,20655.88,0,387,4
4370.27,8190.61,0,774310.08,0,347,119
4400.3,2163.3,0,379800.32,0,78,31
4839.19,213.61,0,31969.79,0,159,2
4927.02,1044.11,0,144244.84,0,291,14
5060.3,159.36,0,10287.89,0,330,1
5230.02,192.09,0,15597.97,0,299,2
5377.21,706.47,0,74858.37,0,321,9
5664.07,313.52,0,68694.04,0,149,4
5793.08,1515.26,0,241145.24,0,295,21
6087.17,545.99,0,94765.39,0,206,7
6888.23,180.43,0,23653.1,0,201,2
