Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.56,452.35,0,224847.13,0,40,12
2087.3,157.92,0,7889.79,0,23,3
2158.49,164.84,0,6757.74,0,355,4
2194.26,175.05,0,7031,0,381,4
2430.23,380.81,0,23323.99,0,335,10
2453.36,129.2,0,6297.52,0,215,3
2599.57,127.38,0,3879.84,0,396,3
2915.38,121.49,0,4678.75,0,287,2
3120.67,112.71,0,3881.37,0,258,2
3817.79,140.18,0,6169.86,0,386,3
4061.34,128.85,0,8467.49,0,136,3
4076,111.21,0,4850.26,0,130,2
6088.64,364.32,0,51051.58,0,236,9
