Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.72,512.86,0,255394.14,0,41,13
2087.69,144.79,0,6350.83,0,23,3
2159.17,155.23,0,6034.36,0,345,3
2194.58,139.83,0,4284.55,0,395,3
2430.7,362.32,0,23296.03,0,313,9
2453.52,128.56,0,7646.53,0,186,2
2599.93,119.71,0,3502.22,0,345,2
2916.03,129.84,0,6066.69,0,283,2
3818.24,134.85,0,6016.57,0,347,3
4068.15,146.54,0,20106.07,0,138,3
5662.18,316.33,0,60080.09,0,156,7
6089.79,493.03,0,79662.43,0,215,12
6890.58,149.86,0,16957.89,0,206,3
