Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031,741.39,0,394435.87,0,40,15
2106.16,154.81,0,7096.67,0,272,2
2118.02,115.91,0,3969.12,0,252,1
2159.23,176.01,0,7373.3,0,362,3
2194.64,210.73,0,9567.25,0,369,3
2430.86,412.98,0,26850.05,0,317,8
2453.76,173.34,0,13329.03,0,204,3
2486.4,107.59,0,3357.92,0,184,1
2600.4,160.61,0,6467.88,0,379,2
2778.91,112.4,0,3883.36,0,274,1
2916.51,145.46,0,6785.47,0,304,2
3121.54,140.61,0,7915.4,0,260,2
3819.01,170.48,0,9543.11,0,356,3
4069.86,173.49,0,29197.76,0,134,3
4938.66,129.53,0,7017.82,0,314,2
5663.88,203.46,0,35362.81,0,146,3
6091.99,427.52,0,68095.71,0,213,8
6892.49,108.38,0,5489.74,0,210,1
