Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2034.68,1154.68,0,684543.13,0,34,20
2114.43,166.26,0,10653.25,0,17,2
2132.83,132.95,0,5196.83,0,246,1
2156.4,120.97,0,3246.2,0,299,1
2192.14,111.73,0,2920.52,0,306,1
2428.06,174.12,0,9052.73,0,307,2
2452.47,154.12,0,8375.24,0,253,2
3454.84,108.72,0,3473.3,0,188,1
3814.64,109.52,0,2661.29,0,402,1
4067.13,155.92,0,22930.15,0,136,2
4104.21,126.62,0,6174.93,0,152,1
5656.55,114.85,0,13467.72,0,108,1
6088.19,305.56,0,57310.92,0,172,5
