Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.07,1034.16,0,602819.26,0,37,20
2117,122.35,0,5867.64,0,17,1
2133.67,115.95,0,3498.99,0,297,1
2194.57,136.53,0,5665.82,0,306,2
2318.54,109.5,0,2537.23,0,327,1
2430.68,191.31,0,10545.61,0,305,3
2455.09,144.33,0,7525.21,0,248,2
3456.96,123.97,0,5714.23,0,196,1
3772.3,105.47,0,3426.03,0,125,1
3819.45,117.07,0,3543.89,0,359,1
4069.68,167.73,0,27519.59,0,134,2
5663.2,277.12,0,54637.97,0,145,5
6091,391.32,0,66788.46,0,199,7
6892.04,136.95,0,13293.41,0,203,2
