Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.28,1121.93,0,672330.96,0,36,21
2116.44,134.98,0,9255.89,0,17,2
2170.61,131.27,0,3558.01,0,388,2
2193.66,118.32,0,3497.52,0,311,1
2317.15,118.47,0,3222.08,0,292,1
2430.52,139.69,0,5874.26,0,320,2
2454.38,152.74,0,8140.25,0,254,2
3818.24,126.21,0,4793.23,0,378,1
4070.03,158.11,0,24287.44,0,130,2
4304.65,213.56,0,15913.08,0,315,3
4372.61,188.15,0,11974.92,0,354,3
4937.52,117.58,0,5722.28,0,269,1
5659.29,140.69,0,16310.5,0,127,2
6091.03,264.81,0,41245.82,0,192,4
