Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.32,1548.56,0,886711.84,0,38,26
2118.14,159.63,0,15741.17,0,16,2
2157.75,118.94,0,3850.05,0,260,1
2318.28,119.74,0,3735.51,0,284,1
2339.2,126.84,0,7743.67,0,194,1
2431.79,134.36,0,6380.12,0,274,1
2453.84,194.17,0,12133.07,0,268,2
4069.84,147.5,0,21379.74,0,132,2
4111.41,134.76,0,7622.44,0,224,1
4312.93,460.78,0,68445.74,0,289,7
4374.1,171.36,0,10998.74,0,329,2
4821.15,153.28,0,10124.1,0,301,2
5672.44,172.62,0,44291.01,0,98,2
6094.81,317.33,0,59815.02,0,172,5
6895.75,108.24,0,5878.47,0,160,1
