Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.57,1071.11,0,597948.16,0,40,21
2116.79,114.3,0,1197.46,0,154,1
2118.23,108.31,0,632.33,0,17,1
2157.62,180.08,0,8149.42,0,319,3
2193.1,174.07,0,6045.45,0,458,3
2337.31,114.03,0,758.33,0,256,1
2340.86,113.84,0,1313.12,0,256,1
2428.71,399.15,0,22151.6,0,415,7
2449.75,128.75,0,2483.17,0,208,2
2452.52,121.19,0,1674.81,0,204,2
2455.47,141.35,0,1503.15,0,225,2
2481.83,104.64,0,309.04,0,268,1
2483.22,103.47,0,306.02,0,267,1
2597.72,134.26,0,3872.47,0,447,2
2914.07,135,0,1949.84,0,604,2
2927.43,109.37,0,744.13,0,634,1
3120.27,133.87,0,3265.26,0,405,2
3813.71,111.92,0,1071.66,0,468,1
4056.29,105.24,0,519.65,0,127,1
4058.8,108.2,0,738.4,0,128,1
4075.2,168.49,0,8430.15,0,379,3
4933.99,121.69,0,4196.05,0,421,2
5654.46,105.62,0,1136.7,0,148,1
6087.92,148.2,0,14338.05,0,189,2
