Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.07,620.65,0,313405.32,0,40,14
2090.7,102.03,0,304.27,0,23,1
2096.22,108.88,0,944.81,0,135,2
2104.76,161.81,0,4954.31,0,444,3
2156.68,217.71,0,8518.84,0,410,4
2192.39,249.97,0,9833.06,0,460,5
2337.54,101.9,0,303.8,0,382,1
2427.89,467.97,0,25033.84,0,424,10
2451.21,142.52,0,5783.25,0,235,2
2483.29,122.42,0,3141.6,0,398,2
2499.22,104.79,0,513.84,0,727,2
2570.82,115.86,0,1094.03,0,552,2
2596.89,114.36,0,3906.48,0,328,2
2772.36,102.31,0,505.07,0,334,1
2913.18,126.92,0,1164.77,0,535,2
2927.37,115.1,0,2376.71,0,367,2
3114.71,101.99,0,404.06,0,259,1
3119.07,169,0,5202.93,0,359,3
3813.8,152.37,0,5318.24,0,519,3
4055.1,104.82,0,924.55,0,130,2
4057.32,115.74,0,1634.14,0,133,2
4073.76,182.69,0,9301.76,0,397,3
4932.21,215.67,0,11623.16,0,454,4
5655.73,208.12,0,31642.56,0,159,4
5675.78,100.59,0,502.02,0,92,1
6083.67,210.03,0,28183.66,0,204,4
6234.54,110.22,0,2018.71,0,383,2
6883.05,134.66,0,12140.87,0,211,2
