Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.95,1625.63,0,887650.55,0,39,28
2113.54,132.16,0,3168.78,0,18,1
2117.18,149.03,0,2583.89,0,18,2
2120.03,123.38,0,1753.16,0,17,1
2122.24,103.09,0,306.44,0,16,1
2124.17,100.95,0,302.13,0,16,1
2125.99,109.2,0,528.99,0,17,1
2134.13,106.25,0,312.6,0,542,1
2139.78,119.04,0,898.84,0,570,1
2141.39,132.41,0,953.99,0,624,1
2157.71,227.49,0,10967.8,0,335,3
2175.36,110.2,0,426.73,0,1854,1
2193.65,206.99,0,6429.55,0,465,3
2319.16,103.66,0,309.02,0,1067,1
2429.72,362.16,0,20306.36,0,334,6
2451.87,141.17,0,5921.02,0,296,2
2456.1,108.25,0,520.95,0,274,1
2468.72,102.05,0,609.49,0,374,1
2471.09,126.43,0,1535.83,0,521,1
2480.44,103.61,0,307.5,0,204,1
2482.35,132.89,0,1440.14,0,213,1
2485.7,136.29,0,4085.55,0,215,1
2498.87,102.51,0,305.72,0,537,1
2571.41,122.59,0,1132.26,0,586,1
2573.41,106.1,0,416.39,0,554,1
2597.33,137.28,0,2081.67,0,429,1
2599.69,102.42,0,304.9,0,258,1
2774.14,117.97,0,1121.89,0,413,1
2776.45,119.76,0,1550.84,0,415,1
2798.59,103.72,0,717.4,0,445,1
2928.37,117.64,0,2034.41,0,450,1
2931.14,111.44,0,1069.62,0,436,1
3117.56,104.03,0,410.57,0,218,1
3121.03,161.53,0,5243.95,0,449,2
3771.6,108.93,0,1148.8,0,174,1
3815.33,144.92,0,3976.42,0,424,2
4058.08,127.08,0,4372.88,0,136,1
4062.5,114.51,0,1204.12,0,128,1
4064.87,104.15,0,512.61,0,127,1
4075.76,167.95,0,9307.82,0,286,2
4935.51,216.13,0,15305.15,0,352,3
4961.45,111.93,0,1073.75,0,260,1
5659.92,311.13,0,63642.53,0,146,5
5690.66,102.59,0,1319.15,0,73,1
6087.38,220.29,0,30316.55,0,200,3
6237.72,115.08,0,5056.41,0,329,1
6886.63,163.36,0,17756.83,0,196,2
6902.8,102.34,0,914.31,0,145,1
