Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.78,1399.5,0,768568.65,0,39,26
2111.34,109.94,0,742.03,0,17,1
2117.57,150.43,0,3703.3,0,239,2
2121.23,121.65,0,1367.72,0,224,1
2158.45,208.52,0,7641.65,0,436,3
2163.2,107.6,0,525.5,0,240,1
2193.91,183.13,0,4917.08,0,481,2
2318.21,106.43,0,416.7,0,412,1
2429.73,387.27,0,22914.64,0,354,6
2453.32,150.51,0,5888.4,0,337,2
2470.57,111.91,0,649.58,0,432,1
2486.76,134.37,0,2421.09,0,566,2
2574.12,108.88,0,1255.14,0,495,1
2599.21,144.16,0,4087.05,0,352,2
2774.99,108.13,0,627.37,0,361,1
2776.34,108.07,0,424.68,0,361,1
2913.63,108.43,0,525.62,0,365,1
2916.07,121.06,0,2463.05,0,435,1
2935.16,107.43,0,423.36,0,299,1
3121.96,134.74,0,3420.42,0,332,2
4076,116.96,0,2082.75,0,434,1
4935.97,126.22,0,3458.77,0,428,1
