Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.5,1409.48,0,728446.69,0,41,31
2117.54,107.93,0,942.61,0,260,1
2119.43,134.11,0,2541.13,0,389,2
2134.51,106.98,0,418.61,0,482,1
2142.25,139.79,0,1231.23,0,665,2
2143.9,117.37,0,561.37,0,422,2
2159.11,304.33,0,15435.1,0,394,6
2194.77,284.81,0,10818.76,0,450,5
2261.21,108.94,0,422.87,0,803,1
2341.08,115.72,0,2829.05,0,235,2
2344.28,110.7,0,1397.47,0,233,1
2430.69,549.41,0,33239.64,0,363,11
2453.73,197.41,0,12884.74,0,257,3
2470.65,165.24,0,3231.9,0,406,3
2482.7,105.44,0,412.28,0,231,1
2486.68,164.32,0,6735.35,0,320,3
2500.02,116.45,0,1428.11,0,525,2
2502,128.59,0,1513.66,0,555,2
2506.47,113.48,0,1296.66,0,214,2
2574.07,125.52,0,3319.32,0,548,2
2600.22,187.27,0,6713.03,0,476,3
2715.5,125.1,0,2462.79,0,496,2
2776.02,155.36,0,6111.03,0,314,2
2780.42,129.95,0,1490.69,0,296,2
2800.74,113.25,0,650.43,0,368,2
2931.36,175.87,0,6330.19,0,423,3
3121.14,201.91,0,13167.81,0,270,4
3818.74,162.48,0,8000.14,0,423,3
4059.84,108.61,0,955.05,0,121,1
4077.94,164.16,0,9239.14,0,330,3
4938.01,226.23,0,14312.09,0,406,4
4963.17,103.4,0,1326.68,0,213,1
5657.85,143.37,0,12363.46,0,151,2
6089.62,124.74,0,8112.23,0,222,2
6240.87,109.31,0,3791.5,0,340,1
