Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.68,1040.77,0,531783.53,0,40,19
2096.91,171.98,0,7080.36,0,21,2
2101,130.76,0,1073.87,0,19,2
2106.32,184.81,0,10790.93,0,258,3
2120.37,121.92,0,1141.12,0,412,1
2159.31,279.61,0,12065.11,0,437,4
2180.51,113.33,0,542.5,0,1438,1
2194.92,221.75,0,9033.35,0,412,3
2307.21,105.37,0,725.19,0,433,1
2340.89,128,0,3076.49,0,369,1
2431.11,587.16,0,37683.58,0,357,10
2453.19,185.22,0,11971.34,0,242,3
2472.06,136.36,0,1697.33,0,753,2
2487.19,142.32,0,4687.73,0,344,2
2508.1,107.07,0,623.29,0,928,1
2573.95,111.02,0,2236.71,0,384,1
2600.1,158.09,0,5388.33,0,349,2
2776.03,114.28,0,972.47,0,287,1
2778.41,130,0,2580.66,0,297,2
2781.66,116.36,0,766.47,0,289,1
2914.38,108.58,0,527.43,0,313,1
2917.43,143.21,0,4217.61,0,419,2
2931.32,147.34,0,3236.39,0,520,2
2933.47,106.02,0,722.49,0,266,1
3117.5,115.86,0,989.89,0,221,1
3122.57,192.58,0,8616.87,0,318,3
3818.58,143.69,0,4732.26,0,426,2
3822.4,109.89,0,745.56,0,359,1
4079.04,164.38,0,7976.24,0,403,2
4938.76,155.18,0,8491.75,0,358,2
