Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.35,811.21,0,406914.11,0,41,16
2094.31,119.84,0,1237.87,0,19,1
2096.74,124.38,0,2126.48,0,19,2
2106.89,161.93,0,5558.2,0,430,2
2158.85,184.44,0,6419.35,0,428,3
2194.93,187.43,0,4418.98,0,597,3
2341.02,101.93,0,303.9,0,287,1
2344.11,107.92,0,423.66,0,1123,1
2430.93,401.87,0,22234.46,0,442,7
2451.61,116.02,0,1206.97,0,261,1
2453.56,130.02,0,1511.92,0,297,2
2470.63,110.44,0,750.76,0,663,1
2600.1,125.72,0,3432.26,0,548,2
2777.56,109.76,0,1053.24,0,481,1
2917.38,104.52,0,924.29,0,388,1
3123.89,137.95,0,3179.06,0,523,2
4079.32,100.69,0,402.07,0,446,1
