Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.05,1149.53,0,573165.36,0,41,23
2098.96,168.49,0,7136.93,0,148,2
2106.42,186.01,0,9692.05,0,277,3
2160.16,283.6,0,12911,0,412,5
2165.25,104.04,0,514.86,0,196,1
2195.62,260.19,0,10050.29,0,453,4
2296.02,110.11,0,639.86,0,1073,1
2317.71,111.8,0,755.34,0,371,1
2341.57,133.61,0,5060.61,0,290,2
2431.83,550.66,0,31796.04,0,390,10
2454.69,179.41,0,8709.71,0,326,3
2472.62,134.92,0,3533.94,0,418,2
2487.57,183.18,0,5134.54,0,559,3
2490.69,102.02,0,407.14,0,256,1
2502.52,110.79,0,637.95,0,542,1
2509.04,113.94,0,862.99,0,528,1
2574.35,141.44,0,1976.78,0,489,2
2601.26,167.4,0,6529.52,0,440,2
2716.65,105.09,0,930.97,0,423,1
2757.23,107.19,0,522.61,0,701,1
2777.87,144.28,0,5944.11,0,369,2
2917.06,148.55,0,3785.16,0,432,2
2932.02,135.73,0,2894.4,0,391,2
2935.92,102.04,0,405.84,0,298,1
3123.91,192.43,0,10994.08,0,314,3
3820.58,154.58,0,5989.44,0,455,2
4081.12,188.57,0,9153.23,0,458,3
4940.99,191.45,0,10990.72,0,423,3
