Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.68,880.77,0,467588.86,0,38,17
2093.09,118.52,0,891.6,0,19,1
2100.86,191.91,0,16469.63,0,155,3
2108.57,121.01,0,798.71,0,19,1
2116.36,104.93,0,725,0,295,1
2117.22,102.73,0,304.84,0,293,1
2156.81,185.33,0,8067.93,0,334,3
2192.27,210.25,0,6852.28,0,509,3
2339.09,127.95,0,2214.09,0,501,2
2428.05,381.05,0,22361.21,0,392,7
2447.81,121.18,0,1013.19,0,193,1
2451.37,163.04,0,6353.73,0,319,2
2467.8,110.11,0,638.69,0,480,1
2482,112.74,0,646.16,0,297,1
2483.63,121.59,0,1136.66,0,326,1
2485.6,124,0,1383.9,0,330,2
2596.56,130.44,0,3324.94,0,454,2
2774.38,124.47,0,1149.58,0,470,2
2912.92,129.84,0,2844.88,0,689,2
2926.61,127.55,0,939.39,0,616,2
3118.48,143.49,0,5573.41,0,364,2
3814.06,132.83,0,4900.67,0,452,2
4073.76,195.88,0,9177.6,0,449,3
4932.67,181.59,0,9765.4,0,374,3
5657.04,164.03,0,20313.7,0,151,2
6084.8,167.31,0,18311.52,0,217,2
6231.78,105.46,0,1132.61,0,358,1
6234.72,103.44,0,1939.23,0,355,1
