Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.48,1065.23,0,582141.13,0,39,22
2117.72,125.63,0,3641.97,0,338,2
2125.93,113.83,0,1293.56,0,472,1
2157.4,243.8,0,10433.43,0,394,4
2193.23,296.4,0,12219.56,0,530,5
2316.76,105.83,0,621.07,0,402,1
2317.65,105.46,0,415.79,0,401,1
2337.43,107.37,0,521.61,0,252,1
2339.41,135.17,0,1923.84,0,264,2
2341.53,106.77,0,626.27,0,252,1
2428.28,455.21,0,29608.88,0,322,9
2445.47,121.34,0,1368.52,0,196,2
2451.71,173.93,0,9650.65,0,290,3
2469.71,117.7,0,1674.27,0,479,2
2484.59,175.53,0,5243.91,0,402,3
2498.11,107.97,0,632.63,0,192,1
2498.98,108.61,0,739.43,0,193,1
2571.77,130.38,0,1194.25,0,556,2
2597.85,208.11,0,7471.29,0,489,3
2601.05,102.11,0,405.58,0,292,1
2712.17,112.48,0,763.56,0,328,1
2774.47,128.02,0,2624.99,0,346,2
2777.32,110.14,0,1286.96,0,306,1
2914.06,148.35,0,4193.48,0,415,2
2928.43,168,0,5638.34,0,459,3
2945.74,104.17,0,412.27,0,430,1
3119.01,183.04,0,10891.82,0,274,3
3815.25,153.82,0,5354,0,497,2
4074.92,186.72,0,8967.36,0,436,3
4934.23,207.69,0,11850.93,0,433,3
