Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.4,1222.9,0,660144.98,0,40,24
2109.59,118.17,0,894.21,0,19,1
2116.93,152.75,0,3184.25,0,329,2
2120.7,137.38,0,1711.22,0,318,2
2157.64,268.14,0,11172.61,0,431,5
2163.2,102.89,0,307.23,0,196,1
2192.7,225.27,0,8510.96,0,455,4
2196.32,109.9,0,1050.67,0,293,1
2338.68,148.46,0,3422.63,0,365,2
2342.26,103.4,0,307.24,0,312,1
2428.36,480.28,0,29271.4,0,338,9
2451.12,177.09,0,9787.8,0,288,3
2468.87,137.49,0,2526.26,0,441,2
2484.83,153.18,0,4725.81,0,501,2
2498.93,105.66,0,414.71,0,562,1
2505.42,115.97,0,1722.2,0,462,1
2570.77,124.87,0,2376.34,0,475,2
2597.6,170.13,0,6837.13,0,367,3
2606.8,106.64,0,723.4,0,690,1
2709.45,105.19,0,414.75,0,282,1
2773.44,126.6,0,2481.43,0,425,2
2776.15,120.98,0,1677.41,0,416,2
2913.78,142.5,0,3847.57,0,466,2
2928.1,134.22,0,3633.77,0,418,2
2930.57,102.15,0,506.44,0,354,1
3119.54,199.19,0,10541.35,0,322,3
3814.66,165.82,0,5659.35,0,487,2
4057.84,111.34,0,857.51,0,139,1
4074.71,183.28,0,9004.45,0,421,3
4933.58,197.28,0,11056.07,0,417,3
5651.01,127.29,0,8322.39,0,139,2
6084.24,156.57,0,13938.36,0,231,2
