Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.85,920.27,0,483717.43,0,39,15
2096.87,136.89,0,2271.07,0,19,1
2099.04,113.4,0,855.88,0,19,1
2102.41,116.97,0,2065.19,0,19,1
2105.99,159.81,0,5069.28,0,248,2
2157.76,165.97,0,7068.82,0,327,2
2193.26,189.24,0,5812.84,0,482,2
2429.48,338.75,0,19852.74,0,373,5
2452.7,118.28,0,1105.78,0,308,1
2485.25,123.23,0,921.86,0,438,1
2598.56,105.23,0,820.94,0,425,1
3120.1,116.44,0,1640.91,0,391,1
3122.23,103.23,0,408.68,0,283,1
4075.9,110.94,0,1070.85,0,437,1
4934.39,125.53,0,3538.21,0,380,1
