Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.13,1085.59,0,549602.59,0,40,16
2093.41,132.17,0,1631.58,0,19,1
2096.45,150.68,0,4654.3,0,19,1
2099.52,115.83,0,776.44,0,19,1
2100.9,113.48,0,758.44,0,19,1
2106.06,148.59,0,8442.71,0,19,1
2119.04,120.06,0,1019.3,0,363,1
2158.48,219.43,0,9000.74,0,409,3
2162.33,101.08,0,302.12,0,219,1
2194.62,226.95,0,7650.65,0,475,3
2340.91,115.78,0,2286.12,0,301,1
2343.61,111.76,0,762.51,0,297,1
2430.56,432.52,0,25895.21,0,360,6
2452.56,157.18,0,4565.39,0,328,2
2456.62,108.47,0,633.17,0,208,1
2486.48,130.28,0,4322.14,0,395,1
2574.71,101.05,0,402.58,0,563,1
2599.48,120.06,0,3186.92,0,379,1
2601.64,102.13,0,403.66,0,345,1
2775.47,113.81,0,1298.82,0,253,1
2929.56,119.05,0,1219.83,0,547,1
3118.79,104.13,0,721.34,0,245,1
3122.8,140.75,0,5681.83,0,299,1
4077.83,104.43,0,1235.15,0,377,1
4938.2,143.11,0,6083,0,419,1
