Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.41,1490.11,0,730329.56,0,43,24
2099.61,155.77,0,2275.19,0,19,2
2102.5,131.29,0,3206.78,0,19,1
2107.27,198.46,0,9419.06,0,331,2
2111.46,125.63,0,1272.63,0,19,1
2120.59,104.16,0,409.44,0,218,1
2121.28,104.9,0,515.24,0,218,1
2123.58,123.1,0,1137.6,0,229,1
2143.42,125.98,0,1143.8,0,738,1
2161,345.64,0,17583.2,0,434,5
2181.16,111.74,0,544.68,0,398,1
2195.87,306.42,0,13955.92,0,414,4
2302.31,105.5,0,516.21,0,184,1
2304.7,114.5,0,3284.97,0,222,1
2319.22,118.41,0,669.04,0,718,1
2320.84,109.63,0,959.01,0,680,1
2340.97,136.17,0,1679.47,0,313,1
2343.27,122.33,0,1239.09,0,271,1
2344.57,132.02,0,1192.37,0,310,1
2432.33,616.73,0,38897.83,0,365,9
2454.86,195.39,0,15212.91,0,213,2
2470.97,119.7,0,1004.57,0,354,1
2474.33,135.84,0,1583.19,0,403,1
2487.98,171.78,0,7289.35,0,374,2
2502.06,104.38,0,413.08,0,177,1
2503.18,117.78,0,1404.76,0,206,1
2508.74,112.01,0,749.25,0,204,1
2575.41,154.2,0,4523.62,0,508,2
2601.06,167.82,0,6056.85,0,412,2
2717.44,110.7,0,639.32,0,373,1
2719.74,103.32,0,612.84,0,329,1
2758.62,117.37,0,882.38,0,680,1
2778.96,166.15,0,7948.74,0,320,2
2801.11,102.47,0,405.28,0,285,1
2915.32,105.49,0,416.8,0,380,1
2917.42,122.8,0,1757.59,0,403,1
2932.96,163.74,0,5962.59,0,337,2
3123.36,218.42,0,13499.36,0,310,3
3820.78,186.48,0,8567.58,0,443,2
4081.15,167.4,0,9879.65,0,317,2
4941.7,233.54,0,16872.89,0,377,3
4965.54,107.01,0,1246.25,0,240,1
5660.74,125.74,0,5606.51,0,160,1
6091.53,103.36,0,1021.29,0,229,1
6244.8,112.68,0,1402.77,0,353,1
