Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.67,881.69,0,442019.49,0,40,18
2093.78,104.06,0,308.39,0,20,1
2098.13,125.57,0,1516.05,0,21,2
2107.19,156.31,0,5668.7,0,297,2
2160.12,253.71,0,10836.52,0,402,4
2195.63,261.04,0,8825.66,0,507,5
2341.47,113.67,0,1193.02,0,443,1
2342.65,109.92,0,843.01,0,288,1
2431.61,526.39,0,28901.27,0,422,10
2454.33,150.31,0,7181.06,0,321,2
2472.32,134.38,0,2422.48,0,553,2
2488,152.65,0,3961.64,0,429,2
2490.34,102.12,0,406.32,0,204,1
2503.33,121,0,1126.08,0,492,2
2574.87,130.13,0,1747.16,0,544,2
2601.34,174.32,0,5894.19,0,453,3
2777.85,127.59,0,2826.89,0,358,2
2917.08,129.67,0,1175.83,0,382,2
2918.77,109.6,0,531.18,0,307,1
2932.31,143.2,0,4165.2,0,478,2
3123.35,188.88,0,9382.62,0,340,3
3820.27,147.14,0,5126.82,0,508,2
4080.57,179.5,0,7796.19,0,493,3
4940.57,172.07,0,8458.1,0,456,3
