Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.41,1392.81,0,674238.96,0,42,22
2099.06,159.39,0,7012.08,0,19,2
2102.61,103.32,0,712.43,0,19,1
2104.7,151.28,0,2328.98,0,19,1
2108.65,181.64,0,7693.87,0,264,2
2118.39,105.18,0,311.49,0,209,1
2120.38,111.66,0,1482.1,0,238,1
2122.89,111.74,0,753.04,0,238,1
2160.99,284.81,0,14833.58,0,398,4
2167.68,109.55,0,640.24,0,170,1
2196.34,251.44,0,11887.97,0,357,3
2304.26,103.67,0,611.53,0,374,1
2319.95,103.74,0,307.18,0,524,1
2342.69,122.88,0,3459.74,0,353,1
2432.68,524.36,0,32751.52,0,345,8
2450.87,112.27,0,862.97,0,176,1
2455.77,165.74,0,8138.77,0,248,2
2472.64,126.98,0,1624.11,0,387,1
2475.7,107.1,0,518.87,0,347,1
2488.56,148.61,0,5953.28,0,320,1
2503.45,103.17,0,407.7,0,183,1
2574.59,122.62,0,1585.63,0,410,1
2576.37,128.46,0,1390.48,0,417,1
2601.63,174.39,0,6090.12,0,481,2
2717.55,116.36,0,1096.36,0,504,1
2719.37,102.85,0,611.87,0,477,1
2779.66,143.22,0,5650.77,0,321,1
2918.42,124.49,0,3974.73,0,415,1
2932.51,161.71,0,3996.28,0,438,2
3119.24,112.93,0,1084.62,0,203,1
3125.03,209.13,0,10973.66,0,354,2
3821.53,156.71,0,6729.84,0,422,2
4082.3,175.38,0,9326.82,0,368,2
4942.57,191.2,0,13065.86,0,347,2
6246.08,110.43,0,2445.07,0,338,1
