Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.3,1671.57,0,926134.25,0,39,34
2127.43,105.33,0,413.55,0,1296,1
2132.41,122.45,0,1260.49,0,497,2
2134.24,109.86,0,528.54,0,476,1
2140.19,140.04,0,3001.09,0,507,2
2156.89,235.13,0,10765.09,0,408,4
2192.54,233.72,0,8301.55,0,488,4
2314.91,113.81,0,1204.93,0,423,1
2316.76,110.94,0,637.57,0,415,1
2327.39,108.94,0,425.32,0,1654,1
2337.71,110.15,0,642.64,0,353,1
2340.91,121.57,0,1016.89,0,380,2
2428.56,419.97,0,26006.34,0,364,8
2445.24,118.41,0,680.12,0,167,1
2446.9,107.28,0,315.45,0,165,1
2451.25,176.11,0,8302.45,0,263,3
2466.85,122.08,0,2782.83,0,323,2
2470.04,115.6,0,765.95,0,314,1
2483.97,158.98,0,6933.71,0,349,2
2499.1,118.1,0,783.89,0,524,1
2507.7,109.5,0,536.25,0,1526,1
2570.94,107.06,0,419.23,0,1270,1
2596.97,175.12,0,5794.11,0,443,3
2772.92,124.73,0,3168.65,0,351,2
2776.52,117.4,0,1224.35,0,342,1
2912.62,114.91,0,972.58,0,535,1
2914.13,113.49,0,973.49,0,531,1
2927.03,131.97,0,1524.9,0,451,2
3118.73,204.25,0,10504.48,0,339,3
3138.34,106.42,0,415.53,0,823,1
3448.96,104.39,0,927.42,0,551,1
3769.39,108.91,0,849.3,0,150,1
3773.1,104.18,0,409.39,0,149,1
3813.82,170.53,0,6609.31,0,510,3
4058.55,146.12,0,9931.76,0,127,2
4073.92,240.96,0,17839.55,0,292,4
4591.69,119.46,0,1901.54,0,200,1
4932.97,268.87,0,19366.95,0,387,5
4955.16,106.71,0,934.57,0,233,1
4958.37,113.24,0,2988.13,0,238,1
4962.52,111.5,0,967.37,0,237,1
5660.05,357.58,0,82625.52,0,131,6
6085.92,288.49,0,47273.4,0,195,5
6234.67,155.79,0,11574.79,0,314,2
6886.97,222.48,0,33290.4,0,189,4
