Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.62,1171.69,0,636711.65,0,40,26
2117.01,119.06,0,1661.16,0,223,2
2118.5,101.75,0,303.01,0,215,1
2158.16,244.83,0,8995.42,0,473,5
2194.16,223.75,0,8095.86,0,454,4
2339.6,121.16,0,2003.78,0,259,2
2429.38,376.1,0,24909.66,0,328,8
2452.23,141.84,0,6562.98,0,308,2
2470.1,111.93,0,639.42,0,561,2
2484.55,116.84,0,672.35,0,293,2
2487.15,106.3,0,1561.08,0,284,1
2572.54,129.24,0,1510.93,0,700,2
2574,114.95,0,655.12,0,662,2
2598.55,151.19,0,4706.81,0,482,3
2755.22,105.58,0,617.52,0,545,1
2773.89,102.31,0,404.95,0,329,1
2776.22,116.41,0,1110.88,0,340,2
2914.46,129.87,0,3508.01,0,337,2
2928.37,105.79,0,417.04,0,323,1
2930.43,112.2,0,1814.38,0,401,2
3120.71,190.47,0,7988.12,0,411,3
3816.43,118.6,0,1328.77,0,435,2
3818.38,118.7,0,1219.49,0,436,2
4076.51,132.45,0,3862.87,0,407,2
4936.27,144.55,0,6758.94,0,450,2
