Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.82,793.3,0,402354.49,0,40,15
2094.94,110.46,0,740.72,0,19,1
2096.98,126.01,0,1730.08,0,135,2
2099.41,128.03,0,1066.42,0,136,2
2104.6,158.93,0,8010.29,0,250,2
2158.38,250.56,0,10064.92,0,394,4
2163.41,100.89,0,301.63,0,210,1
2194.21,271.23,0,10318.55,0,439,5
2338.44,102.85,0,306.06,0,260,1
2339.78,113.04,0,971.39,0,266,1
2342.48,117.71,0,1681.97,0,269,1
2429.67,512.54,0,32846.4,0,387,10
2447.77,104.14,0,410.31,0,208,1
2450.95,157.55,0,3502.01,0,239,2
2453.8,139.03,0,1820.33,0,222,2
2455.35,116.46,0,1096.05,0,214,1
2470.74,100.89,0,302.14,0,520,1
2485.96,143.43,0,2379.04,0,438,2
2572.94,122.46,0,2099.08,0,492,2
2599.1,153.4,0,4609.16,0,448,2
2711.26,113.48,0,868.26,0,278,1
2716.11,108.5,0,632.56,0,272,1
2775.01,128.06,0,2810.86,0,398,2
2778.73,108.34,0,740.37,0,372,1
2915.34,131.73,0,2996.42,0,383,2
2929.68,140.79,0,4251.18,0,385,2
3120.79,159.05,0,8053.53,0,312,2
3816.36,110.03,0,1584.43,0,421,1
4076.43,102.55,0,1521.99,0,424,1
4935.76,142.27,0,5713.57,0,441,2
