Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.37,1036.19,0,538443.99,0,40,17
2096.97,143.11,0,5659.23,0,19,2
2102.29,134.95,0,3914.11,0,19,1
2106.85,144.01,0,4996.97,0,19,2
2116.95,115.74,0,665.74,0,336,1
2118.94,115.22,0,1604.49,0,336,1
2158.75,196.86,0,8786.53,0,346,2
2194.25,183.72,0,6010.86,0,469,2
2430.68,402.5,0,21752.23,0,411,6
2452.41,133.33,0,3877.98,0,263,1
2455.81,126.62,0,1893.09,0,232,1
2486.52,118.74,0,1128.35,0,323,1
2501.19,102.79,0,304.62,0,822,1
2599.65,131.16,0,3910.69,0,405,1
2775.98,129.15,0,1405.3,0,544,1
2929.5,114.97,0,878.74,0,330,1
2930.95,106.14,0,520.81,0,320,1
3122.1,149.03,0,6084.55,0,317,2
3818.8,108.87,0,1786.42,0,492,1
4937.11,109.7,0,2770.3,0,363,1
