Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2028.64,1226.81,0,641687.76,0,41,28
2119.08,137.74,0,4106.63,0,293,2
2133.44,107.78,0,423.35,0,622,2
2159.23,248,0,11685.34,0,407,5
2194.99,274.82,0,9464.88,0,501,5
2340.88,127.52,0,3129.41,0,321,2
2343.1,103.64,0,409.78,0,297,1
2430.83,533.06,0,31627.53,0,397,11
2450,113.14,0,981.57,0,179,2
2454.38,167.09,0,8470.44,0,278,3
2471.61,136.99,0,3181.62,0,455,2
2484.09,115.39,0,877.95,0,269,2
2487.13,142.51,0,4101.18,0,285,2
2502.58,113.56,0,1185.95,0,514,2
2573.06,104.86,0,409.85,0,420,1
2575.25,117.56,0,989.39,0,441,2
2599.97,191.29,0,6910.73,0,484,3
2778.4,141.45,0,8268.05,0,271,2
2800.63,116.33,0,1501.21,0,543,2
2802.58,108.41,0,1060.42,0,524,2
2916.83,151.75,0,4413.48,0,381,3
2931.37,130.68,0,4997.92,0,363,2
3122.27,198.09,0,9877.35,0,355,4
3818.93,143.2,0,5169.86,0,393,2
4060.87,106.39,0,727.01,0,280,1
4078.51,188.32,0,9229.15,0,398,3
4938.62,191.86,0,10923.9,0,402,3
6090.08,104.4,0,3067.43,0,223,1
