Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.76,936.66,0,471464.48,0,40,18
2099.36,120.91,0,1341.38,0,131,1
2103.88,104.14,0,512.75,0,19,1
2107.76,171.02,0,5708.21,0,336,2
2159.88,234.38,0,9265.23,0,429,4
2195.92,213.55,0,8073.98,0,458,3
2341.52,108.69,0,1454.26,0,361,1
2431.99,382.41,0,21149.97,0,398,7
2455.24,142.42,0,4986.02,0,298,2
2488.07,123.96,0,3320.67,0,334,2
2601.44,122.65,0,2581.14,0,506,2
2778.54,102.44,0,406.91,0,341,1
2780.13,109.61,0,842.86,0,350,1
2933.28,114.01,0,660.82,0,525,1
3124.3,155,0,5050.23,0,374,2
3820.67,101.92,0,706.72,0,351,1
4081.11,113.24,0,2802.94,0,480,1
4940.95,129.5,0,4775.49,0,414,2
