Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.66,849.32,0,410409.87,0,41,17
2098.4,114.02,0,872.73,0,142,1
2104.58,103.18,0,405.75,0,140,1
2107.09,124.15,0,3122.04,0,307,2
2109.32,105.2,0,517.49,0,141,1
2118.34,105.39,0,618.68,0,288,1
2160.06,224.06,0,10536.57,0,366,4
2195.65,233.09,0,9891.81,0,403,4
2344,109.28,0,850.01,0,317,1
2431.78,471.3,0,27664.29,0,383,9
2454.78,146.72,0,7467.92,0,261,2
2471.84,111.88,0,854.83,0,489,1
2485.36,110.42,0,428.06,0,390,1
2487.04,108.09,0,728.89,0,387,1
2488.61,119.91,0,1127.71,0,403,2
2503.63,114.82,0,770.59,0,603,1
2575.12,110.01,0,1796.71,0,556,1
2601.23,156.57,0,4523.5,0,470,2
2717.98,102.82,0,508.63,0,294,1
2778.06,110.97,0,1906.84,0,279,1
2916.95,106.05,0,622.34,0,533,1
2918.83,104.77,0,411.11,0,531,1
2932.57,136.53,0,3194.76,0,379,2
3119.63,105.55,0,618.01,0,217,1
3124.52,164.43,0,6184.07,0,301,3
3820.81,125.11,0,4593.37,0,452,2
4080.75,148.78,0,6124.05,0,450,2
4940.58,159.02,0,6486.94,0,473,2
