Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.48,1245.16,0,613834.64,0,40,22
2097.56,134.57,0,5443.58,0,19,1
2101.65,102.64,0,305.09,0,19,1
2107.02,185.84,0,8145.49,0,276,2
2110.6,118.81,0,1231.33,0,19,1
2142.99,111.81,0,644.27,0,920,1
2160.37,292.47,0,13487.97,0,398,4
2181.76,117.58,0,884.58,0,512,1
2195.71,314.84,0,11473.76,0,481,5
2341.25,123.79,0,1947.17,0,336,1
2344.05,138.58,0,2838.17,0,386,2
2431.7,561.22,0,32935.27,0,375,9
2454.64,186.23,0,10128.49,0,298,2
2472.31,139.71,0,4057.62,0,516,2
2488.2,158.96,0,6746.31,0,395,2
2503.63,107.03,0,520.34,0,194,1
2504.56,100.52,0,301.39,0,192,1
2509.15,108.56,0,843.25,0,194,1
2574.71,111.46,0,646.67,0,413,1
2576.66,112.83,0,753.94,0,416,1
2601.31,184.49,0,5983.97,0,505,2
2735.93,109.11,0,737.62,0,491,1
2778.18,168.84,0,6567.7,0,419,2
2917.54,134.62,0,3204.95,0,441,1
2932.75,164.77,0,5630.84,0,417,2
3123.43,211.27,0,12186.34,0,308,3
3820.45,189.57,0,6980.3,0,455,3
3824.69,105.44,0,720.68,0,341,1
4081.03,212.38,0,10786.58,0,463,3
4940.63,227.17,0,13143.51,0,434,3
