Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.89,673.95,0,370678.65,0,36,13
2096.33,104.17,0,2772.05,0,17,1
2105.01,127.94,0,4652.66,0,17,2
2115.2,106.94,0,3230.3,0,17,1
2157.14,167.75,0,6891.58,0,340,2
2192.88,117.88,0,3004.87,0,371,1
2428.6,312.17,0,20049.77,0,304,5
2451.73,107.13,0,3231.15,0,200,1
3118.33,108.1,0,2946.55,0,260,1
4066.01,128.68,0,18870.35,0,130,2
4933.68,109.07,0,4032.81,0,303,1
5657.34,322.66,0,67462.1,0,146,6
6084.93,296.54,0,45541.81,0,204,5
6885.62,187.36,0,26853.29,0,192,3
