Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.13,602.55,0,325415.43,0,38,13
2103.96,117.85,0,4678.45,0,19,2
2115.29,120.45,0,4175.34,0,179,2
2157.68,188.48,0,9372.78,0,317,3
2193.11,127.27,0,3876.8,0,343,2
2428.78,370.46,0,23368.94,0,325,7
2451.76,125.68,0,5866.54,0,220,2
2597.74,112.01,0,2368.45,0,337,2
3119.44,121.13,0,5126.84,0,245,2
4066.14,146.11,0,22333.6,0,134,2
4934.32,140.32,0,7786.24,0,328,2
5658.31,307.78,0,59859.05,0,152,6
6085.71,336.32,0,52347.9,0,207,7
6886.03,197.48,0,28142.06,0,197,3
