Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.54,505.08,0,247860.88,0,41,12
2086.66,178.5,0,10494.97,0,210,4
2106.12,105.72,0,1973.42,0,19,2
2158.37,203.92,0,9173.59,0,363,4
2170.11,179.21,0,7933.95,0,345,4
2193.3,189.24,0,8457.73,0,360,4
2429.87,449.44,0,26423.35,0,350,11
2452.21,126.27,0,5737.35,0,248,2
2485.64,110.16,0,2656.39,0,313,2
2599.04,117.09,0,3104.62,0,366,2
3120.75,131.89,0,6118.55,0,271,2
4076.51,116.72,0,4422.21,0,310,2
4936.3,120.11,0,4774.95,0,377,2
6087,108,0,4209.38,0,260,2
