Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.8,663.45,0,348845.28,0,40,14
2106.39,131.73,0,4523.03,0,286,2
2159.24,228.17,0,11362.58,0,345,4
2170.68,148.62,0,6681.39,0,280,2
2194.49,198.18,0,9294.33,0,346,4
2430.91,526.27,0,32995.34,0,338,11
2452.97,151.88,0,9473.41,0,228,2
2486.75,108.19,0,2763.21,0,278,1
2600.39,135.39,0,4820.31,0,347,2
3121.88,152.86,0,9193.81,0,251,2
3819.03,116.85,0,3776.91,0,379,2
4078.39,139.13,0,7615.72,0,282,2
4938.58,136.47,0,7402.03,0,338,2
6090.05,134.64,0,10696.72,0,236,2
