Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.41,652.86,0,347423.23,0,39,13
2096.86,106.14,0,1978.92,0,19,1
2106.19,150.21,0,6017.29,0,316,2
2158.91,278.15,0,14154.19,0,356,5
2194.32,193.41,0,8372.27,0,375,3
2430.43,581.77,0,36360.04,0,343,12
2452.82,174.98,0,10921.02,0,254,3
2471.14,111.46,0,2353.29,0,321,1
2486.37,146.13,0,6568.03,0,304,2
2599.79,153.7,0,6008.18,0,379,2
2776.82,127.33,0,4904.83,0,297,2
2916.08,117.78,0,4023.4,0,298,2
2931.27,133.53,0,5113.39,0,335,2
3121.35,194.04,0,11694.52,0,314,3
3818.09,130.95,0,5145.29,0,388,2
4077.78,139.44,0,6666.3,0,357,2
4937.62,151.62,0,8764.88,0,357,2
