Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.43,695.56,0,369153.57,0,40,13
2096.97,102.27,0,1929.3,0,19,1
2104.28,124.43,0,4859.81,0,19,2
2115.35,115.89,0,3915.22,0,212,1
2156.98,206.33,0,10947.03,0,304,3
2192.07,165.46,0,7104.89,0,339,2
2428.01,438,0,26816.22,0,339,8
2451.06,143.77,0,9257.76,0,211,2
2483.92,108.36,0,2440.39,0,225,1
3117.97,127.68,0,6330.78,0,246,2
3768.74,113.99,0,5134.4,0,118,1
3814.07,127.2,0,6008.72,0,323,2
4064.96,166.33,0,26088.38,0,133,2
4590.81,107.77,0,4419.52,0,210,1
4931.98,188.53,0,13973.84,0,321,3
5656.05,511.45,0,115712.9,0,146,9
6082.62,417.67,0,67515.7,0,209,8
6882.76,256.21,0,39924.79,0,205,4
11287.59,134.93,0,24071.61,0,153,2
