Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.51,667.45,0,355459.99,0,39,14
2106.45,119.58,0,3909.29,0,19,2
2158.5,205.29,0,9685.75,0,345,4
2193.77,224.81,0,10747.1,0,359,4
2429.82,495.54,0,31200.47,0,335,10
2452.38,140.16,0,7748.39,0,242,2
2486,109.79,0,2638.04,0,270,1
2599.15,137.54,0,5234.18,0,315,2
2915.62,114.57,0,3815.93,0,267,2
2930.45,109.49,0,2653.65,0,302,1
3120.95,151.84,0,8849.28,0,281,2
4077.24,113.75,0,3709.82,0,318,1
4936.54,139.45,0,7414.06,0,352,2
