Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.62,592.5,0,286118.55,0,40,14
2087.6,179.17,0,9503.28,0,23,3
2106.44,116.34,0,2536.64,0,322,2
2158.9,247.17,0,12269.38,0,355,5
2194.39,189.79,0,7901.05,0,384,4
2430.57,507.84,0,31489.33,0,341,12
2453.06,145.02,0,8540.99,0,235,3
2486.35,123.42,0,4723.39,0,262,2
2599.68,131.88,0,4213.86,0,375,2
2776.71,113.51,0,3051.77,0,315,2
2931.02,116.59,0,3762.45,0,327,2
3121.51,164.13,0,9866.2,0,287,3
3818.16,120.98,0,4326.44,0,365,2
4061.31,116.09,0,5857.99,0,132,2
4077.5,126.65,0,6206.65,0,137,2
4937.52,155.02,0,9583.06,0,345,3
6089.2,245.52,0,29376.66,0,245,5
