Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.87,772.29,0,405749.53,0,40,17
2106.08,141.32,0,6389.93,0,138,2
2159.16,276.94,0,13866.4,0,365,5
2194.65,260.62,0,12418.83,0,377,5
2305.04,106.15,0,2498.04,0,252,1
2340.97,111.6,0,3440.34,0,265,2
2430.77,604.34,0,39510.39,0,330,13
2453.17,182.48,0,13578.53,0,223,3
2470.91,125.74,0,3751.02,0,373,2
2486.95,158.41,0,8075.94,0,278,3
2574.36,120.9,0,3391.53,0,386,2
2600.4,183.43,0,8138.34,0,380,3
2777,136.68,0,5523.68,0,314,2
2916.61,144.34,0,6659.24,0,296,2
2931.63,161.32,0,7978.45,0,325,3
3121.5,211.19,0,15094.6,0,276,4
3819.01,172.05,0,9235.87,0,369,3
4061.98,105.21,0,3517.83,0,122,1
4078.02,145.44,0,8998.74,0,139,2
4938.62,214.09,0,15469.45,0,349,4
6090.46,152.58,0,14225.27,0,233,3
6241.97,109.99,0,4048.88,0,327,2
