Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.02,724.94,0,368004.4,0,41,16
2106.76,158.06,0,6673.75,0,291,3
2159.68,270.83,0,14288.47,0,344,5
2194.93,253.3,0,11969.45,0,376,5
2340.67,116.92,0,4760.53,0,253,2
2431.07,597.24,0,38881.56,0,330,13
2453.77,192.99,0,13284.14,0,246,3
2471.73,119.95,0,3594.37,0,342,2
2486.9,145.2,0,7344.17,0,244,2
2574.65,119.17,0,3040.01,0,416,2
2600.71,183.46,0,8617.25,0,358,3
2716.41,105.15,0,2795.94,0,274,1
2777.61,140.51,0,5383.8,0,351,2
2917.06,142.3,0,6875.67,0,303,2
2932.2,151.39,0,7545.59,0,305,2
3122.11,195.48,0,13235.35,0,281,4
3819.31,158.28,0,7428.87,0,394,3
4078.85,162.44,0,9387.68,0,338,3
4938.98,189.68,0,12344.41,0,367,3
