Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.51,564.51,0,295977.18,0,39,13
2105.07,114.71,0,3625.48,0,19,2
2157.4,206.05,0,10979.54,0,308,4
2192.65,165.99,0,6868.25,0,349,3
2428.71,438.6,0,27406.45,0,332,10
2451.17,129.58,0,7280.61,0,218,2
2484.66,103.59,0,2447.85,0,212,2
2597.91,112.87,0,2485.14,0,309,2
3119,129.09,0,6173.49,0,260,2
3814.64,116.76,0,4119.33,0,341,2
4058.14,107.84,0,3781.85,0,120,2
4073.58,143.67,0,8861.44,0,138,3
4933.26,147.74,0,8725.09,0,333,3
5657.15,256.51,0,46058.93,0,154,5
6084.16,222.45,0,29088.4,0,215,4
6883.88,122.2,0,9725.42,0,216,2
