Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.76,622.37,0,311125.89,0,40,14
2087.7,187.12,0,10551.26,0,23,4
2106.29,130.69,0,5048.63,0,254,2
2159.01,227.26,0,10707.22,0,361,5
2194.37,200.24,0,9747.15,0,334,4
2430.46,469.82,0,29938.73,0,329,10
2453.16,148.81,0,7710.01,0,254,3
2486.64,119.06,0,4030.86,0,271,2
2599.86,143.77,0,5614.94,0,364,3
2930.89,111.8,0,2799.45,0,324,2
3121.38,156.34,0,9098.32,0,270,3
3818.52,108.93,0,2651.46,0,375,2
4077.76,124.4,0,5656.85,0,145,2
4937.45,140.45,0,7574.08,0,357,2
6088.83,154.94,0,14857.57,0,236,3
