Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.03,630.75,0,320690.63,0,41,14
2106.88,140.53,0,5639.96,0,284,2
2159.69,270.93,0,14328.23,0,350,5
2194.88,238.78,0,11489.85,0,364,5
2342.09,108.23,0,2524.97,0,248,2
2431.18,604.18,0,38256.48,0,339,13
2453.55,165.72,0,11368.64,0,218,3
2487.11,138.26,0,5960.85,0,232,2
2574.82,109.82,0,2333.91,0,380,2
2600.69,154.84,0,6400.14,0,350,3
2777.48,124.74,0,4751.68,0,307,2
2916.95,119.76,0,4540.83,0,291,2
2931.88,142.16,0,5835.29,0,351,2
3122.11,184.75,0,12543.28,0,272,3
3819.1,129.2,0,5359.18,0,362,2
4078.62,146.86,0,8279.83,0,294,3
4938.91,164.91,0,10424.63,0,347,3
6090.22,143.41,0,11960.06,0,247,2
