Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.61,1059.41,0,562758.38,0,40,23
2118.03,128.78,0,6113.78,0,209,2
2159.62,243.84,0,11903.4,0,358,4
2195.03,215.87,0,9975.44,0,367,4
2341.19,118.94,0,4725.32,0,241,2
2431.28,559.05,0,37557.64,0,318,11
2453.73,190.37,0,12832.09,0,250,3
2472.25,118.93,0,3700.49,0,322,2
2487.15,137.46,0,5978.66,0,254,2
2574.65,113.39,0,2517.83,0,389,2
2601.03,186.89,0,8761.69,0,370,3
2778.04,137.22,0,5872.26,0,309,2
2917.78,154.31,0,7364.94,0,323,2
2932.47,148.21,0,7023.41,0,308,2
3122.17,197.39,0,14275.19,0,264,3
3819.75,141.73,0,6602.59,0,361,2
4062.79,105.72,0,3432.06,0,123,1
4079.06,170.45,0,10915.04,0,306,3
4939.47,182.35,0,12221.89,0,350,3
6091.53,115.59,0,6599.6,0,234,2
