Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.29,1188.75,0,623991.9,0,40,27
2160.36,158.24,0,6601.48,0,318,3
2196,196.36,0,8595.77,0,370,4
2319.94,118.67,0,3266.61,0,340,2
2342.14,114.1,0,2924.87,0,311,2
2431.96,376.91,0,24852.45,0,310,8
2454.91,152.23,0,9549.33,0,231,3
2487.97,129.41,0,5555.4,0,237,2
2601.57,158.51,0,7022.73,0,344,3
2917.9,135.98,0,6541.77,0,295,2
3122.81,155.34,0,10518.48,0,235,3
3820.9,159.68,0,8870.68,0,340,3
4081.11,131.95,0,6241.98,0,337,2
4941.44,123.87,0,5658,0,334,2
