Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.57,946.5,0,542908.33,0,36,20
2118.24,110.88,0,4026.38,0,157,1
2158.05,157,0,6178.5,0,339,3
2193.44,179.17,0,7656.6,0,360,3
2340.02,115.99,0,4057.69,0,262,2
2429.15,357.7,0,23705.78,0,307,7
2452.48,150.14,0,8296.18,0,252,2
2484.73,118.52,0,4099.12,0,238,2
2598.5,150.36,0,5979.03,0,368,2
2915.01,145.71,0,7091.21,0,307,2
3120.35,147.37,0,7662.04,0,287,2
3816.45,149.92,0,7172.28,0,382,2
4076.5,131.44,0,5545.51,0,382,2
