Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.9,1129.68,0,644147.41,0,38,27
2158.75,149.54,0,5640.85,0,343,3
2194.46,185.42,0,7681.11,0,386,4
2340.78,111.69,0,3986.68,0,240,2
2430.29,357.85,0,23039.99,0,319,8
2453.79,147.17,0,7179.2,0,248,3
2486.05,105.7,0,2455.76,0,193,2
2599.1,143.14,0,6022.89,0,329,3
2915.91,141.22,0,6630.31,0,310,3
3121.66,150.04,0,8309.41,0,282,3
3818.37,176.91,0,9354.96,0,382,3
4078.29,143.96,0,7120.46,0,356,3
4937.68,124.68,0,5680.28,0,353,2
